tag,ref_chars,hyp_chars,cer_pct,client_total_ms,server_e2e_ms,inference_ms,asr_text,ref_text
t01,22,23,18.18,49197.8,1076.5,0.0,"我今天早上跑了 5 公里覺得體力比上個月好很多","我今天早上跑了五公里、覺得體力比上個月好很多"
t02,17,17,0.0,1988.0,625.2,0.0,"蘇菲幫我看一下昨天的留存率有沒有跌","蘇菲幫我看一下昨天的留存率有沒有跌"
t03,14,14,28.57,1955.6,606.1,0.0,"卡西法去確認玉蘭王只跑得起來","卡西法去確認預覽網址跑得起來"
t04,15,15,26.67,2013.6,658.2,0.0,"派無盡頭看用戶推定原因的前三名","派蕪菁頭看用戶退訂原因的前三名"
t05,19,22,36.84,2003.5,629.3,0.0,"我預算大概一個月 5000 塊能不能撐三個月","我預算大概一個月五千塊、能不能撐三個月"
t06,15,19,60.0,2029.3,673.4,0.0,"3 點半開會會議室在 12 樓 A 區","三點半開會、會議室在十二樓A區"
t07,20,21,25.0,2158.3,796.2,0.0,"這個元件重構一下別讓潮狀屬性傳遞變 5 層","這個元件重構一下、別讓巢狀屬性傳遞變五層"
t08,16,18,31.25,3234.4,626.0,0.0,"記得強調那個投資報酬率是 3.2 倍","記得強調那個投資報酬率是三點二倍"
t09,17,16,5.88,1961.5,596.0,0.0,"我有點不耐煩了能不能直接給我結論","我有點不耐煩了、能不能直接給我結論"
t10,55,59,10.91,1980.2,628.5,0.0,"Sophie can you help me draft an email about q send strategy","Sophie can you help me draft an email about Q3 strategy"
