i,ref,hyp,cer_pct,ref_len,hyp_len,audio_duration_sec,asr_inference_ms,asr_total_e2e_ms,client_roundtrip_ms
1,"我今天早上跑了五公里、覺得體力比上個月好很多","我接到他跑了 5 公里",77.27,22,11,6.0,257.0,602.6,10245.6
2,"蘇菲幫我看一下 BeyondPath 昨天的留存率有沒有跌","還舒飛有冇看一下昨天的流程綠有冇跌",72.41,29,17,9.06,436.5,703.1,2660.1
3,"卡西法去確認 Vercel preview URL 跑得起來","I kashifa 去確認玉蘭王子跑了起來",80.0,30,21,12.6,376.6,673.7,2893.2
4,"派蕪菁頭看用戶 cohort 的退訂原因 top 3","為 債 救 死",88.46,26,7,11.99,225.4,544.0,2768.5
5,"我預算大概一個月五千塊、能不能撐三個月","非我預算得計一個月會請快",73.68,19,12,5.64,287.5,594.6,2718.1
6,"三點半開會、會議室在 12 樓 A 區","Wow.",100.0,19,4,3.6,111.6,413.0,2024.3
7,"這個 component refactor 一下、別讓 props drilling 變五層","賽這個",97.83,46,3,4.79,110.4,397.3,2139.6
8,"CFO 拉預算的時候、記得 highlight 那個 ROI 是 3.2 倍","後肢報酬率是 3.2 倍",81.58,38,12,10.33,315.6,597.7,2828.3
9,"我有點不耐煩了、能不能直接給我結論不要鋪陳","Hi 我有點無奈翻",100.0,21,9,5.4,210.4,475.0,2404.3
10,"Sophie can you help me draft an email to Marc about Q3 strategy","Help me draft an email at",61.9,63,25,9.0,225.2,549.8,2854.0
